command,label,date,time
"how please weather, today's is",weather,28-09-2024,14:02:25
can you play song,music,28-09-2024,22:15:28
"could you play song, please",music,28-09-2024,22:23:40
"play song, please please",music,28-09-2024,21:20:35
"play song, please can you",music,28-09-2024,17:31:39
kindly open calculator,open,28-09-2024,13:03:35
open you Can calculator,open,28-09-2024,16:34:32
can you calculator open,open,28-09-2024,16:08:13
can you calculator open,open,28-09-2024,08:26:10
can you open notepad,open,28-09-2024,12:25:43
open notepad please,open,28-09-2024,18:13:37
open you notepad Can,open,28-09-2024,13:57:58
"could you open notepad, please",open,28-09-2024,21:01:17
is time what it,time,28-09-2024,17:09:53
which today is date,date,28-09-2024,17:49:59
weather how today's is,weather,28-09-2024,10:37:00
play Can song you,music,28-09-2024,09:31:03
"please open calculator, please",open,28-09-2024,23:25:53
open notepad please,open,28-09-2024,20:23:03
you is it time Can what,time,28-09-2024,16:07:21
"today please date, which is",date,28-09-2024,22:44:32
is weather how today's,weather,28-09-2024,17:38:01
song play please,music,28-09-2024,16:48:39
calculator you open Can,open,28-09-2024,09:30:22
"could you open notepad, please",open,28-09-2024,15:49:14
"it please time is, what",time,28-09-2024,15:54:08
"today which is date, please",date,28-09-2024,11:14:41
is weather Can you how today's,weather,28-09-2024,13:45:27
"kindly play song, please",music,28-09-2024,18:50:57
open you Can calculator,open,28-09-2024,20:44:27
"open notepad, please can you",open,28-09-2024,22:19:04
"time is, what it please",time,28-09-2024,19:39:19
you which today date Can is,date,28-09-2024,10:24:04
"how today's weather, is please",weather,28-09-2024,12:20:16
you play song Can,music,28-09-2024,18:59:00
kindly calculator open,open,28-09-2024,14:16:43
notepad open Can you,open,28-09-2024,12:23:16
is you it time Can what,time,28-09-2024,18:53:34
"which please date, is today",date,28-09-2024,10:23:54
Can you today's is how weather,weather,28-09-2024,16:51:51
"could you play song, please",music,28-09-2024,18:03:37
please open calculator,open,28-09-2024,22:00:31
Can open notepad you,open,28-09-2024,19:43:01
what time you is it Can,time,28-09-2024,17:46:21
today which is date,date,28-09-2024,20:35:39
today's how is weather,weather,28-09-2024,22:12:42
"kindly play song, please",music,28-09-2024,22:00:10
Can open calculator you,open,28-09-2024,06:54:15
"can you open notepad, please",open,28-09-2024,20:21:30
Can time it what is you,time,28-09-2024,11:43:16
"today which is date, please",date,28-09-2024,01:24:18
today's you is weather Can how,weather,28-09-2024,11:35:35
"kindly play song, please",music,28-09-2024,12:29:35
kindly calculator open,open,28-09-2024,20:28:45
please open notepad,open,28-09-2024,09:45:43
it what is Can time you,time,28-09-2024,12:37:17
"which date, is today please",date,28-09-2024,22:39:13
how today's is weather,weather,28-09-2024,13:49:59
Can song play you,music,28-09-2024,11:44:33
"please open calculator, please",open,28-09-2024,11:38:40
"could you open notepad, please",open,28-09-2024,11:01:43
"is, please what time it",time,28-09-2024,16:27:39
"today date, please is which",date,28-09-2024,23:52:05
"is weather, how today's please",weather,28-09-2024,14:16:09
could you song play,music,28-09-2024,18:39:52
you Can open calculator,open,28-09-2024,11:29:44
"open notepad, please kindly",open,28-09-2024,21:07:08
is what it time,time,28-09-2024,19:11:48
which is today Can date you,date,28-09-2024,13:53:47
weather is Can you today's how,weather,28-09-2024,22:48:07
song Can you play,music,28-09-2024,11:53:55
"please open calculator, please",open,28-09-2024,10:14:26
please notepad open,open,28-09-2024,19:53:59
"it is, what please time",time,28-09-2024,23:22:24
today date is which you Can,date,28-09-2024,12:06:15
today's weather is how you Can,weather,28-09-2024,21:14:03
you play Can song,music,28-09-2024,23:48:28
kindly open calculator,open,28-09-2024,16:20:31
notepad you Can open,open,28-09-2024,00:26:13
"what it is, please time",time,28-09-2024,14:54:44
"which today is date, please",date,28-09-2024,13:29:55
today's weather how is,weather,28-09-2024,08:13:30
song Can play you,music,28-09-2024,17:20:49
"kindly open calculator, please",open,28-09-2024,09:30:09
"please open notepad, please",open,28-09-2024,14:54:59
is it what time,time,28-09-2024,23:27:59
date is today you which Can,date,28-09-2024,09:37:02
today's weather how is,weather,28-09-2024,14:24:49
"play song, please could you",music,28-09-2024,18:13:08
time is what can tell you me it,time,28-09-2024,10:27:58
you can me the how is tell weather,weather,28-09-2024,22:35:20
what cooler is of search the price,search,28-09-2024,11:13:37
time it is what,time,28-09-2024,20:08:18
what is weather can you,weather,28-09-2024,14:29:02
can weather is it me please what you tell,weather,28-09-2024,13:50:44
time please me you is can it tell what,time,28-09-2024,16:31:44
me whether please can you what it is tell,weather,28-09-2024,23:02:34
it date which is,date,28-09-2024,21:35:39
it what is time,time,28-09-2024,17:52:59
what weather here is the,weather,28-09-2024,01:24:53
play can and for open me youtube you some song,music,28-09-2024,20:15:13
you tell is can time what it me,time,28-09-2024,20:37:43
you for play music some can,music,28-09-2024,10:38:05
me weather please what you yes can is tell,weather,28-09-2024,20:43:58
open youtube could you,open,28-09-2024,00:59:45
me tell about weather,weather,28-09-2024,23:41:28
what is time it,time,28-09-2024,15:42:49
play for music some,music,28-09-2024,18:47:52
the of is cooler price what,search,28-09-2024,00:43:21
what weather nagpur of is the,weather,28-09-2024,19:55:44
of india what ka price the is,search,28-09-2024,18:43:47
of the what is weather,weather,28-09-2024,21:40:29
weather is the how,weather,28-09-2024,00:47:22
how the is weather,weather,28-09-2024,21:48:37
tell me weather the,weather,28-09-2024,01:22:24
search the hindu can you,search,28-09-2024,09:49:22
some music for play me,music,28-09-2024,08:44:21
tujhe alag kariye please,open,28-09-2024,10:29:43
kindly search population,open,28-09-2024,12:56:18
please population,open,28-09-2024,08:48:32
could you search for population,open,28-09-2024,14:53:45
kindly search population,open,28-09-2024,12:42:53
yah problem solve ab,open,28-09-2024,11:57:08
some search music youtube for on,music,28-09-2024,15:26:11
open flipkart,open,2024-09-28,18:47:16
open amazon,open,2024-09-28,18:47:24
what is the capital of india,search,2024-09-28,18:47:36
who invented electricity,open,2024-09-28,18:47:52
open flipkart,open,28-09-2024,18:49:28
open amazon,open,28-09-2024,18:49:37
who invented airplane,open,28-09-2024,18:49:45
who invented electricity,open,28-09-2024,18:50:03
what is weather,weather,28-09-2024,18:50:18
what is the weather of nagpur,weather,28-09-2024,19:21:28
what is the weather of nagpur,weather,28-09-2024,19:28:23
what is the weather of begusarai,weather,28-09-2024,19:31:14
yes can you please search on the way what is the population of india,search,28-09-2024,23:23:39
yes play some music for me,music,28-09-2024,23:31:14
yes play some song,music,29-09-2024,00:09:35
can you open flipkart,open,30-09-2024,11:12:19
can you open amazon,open,30-09-2024,11:12:38
please tell me the weather of,weather,30-09-2024,11:31:45
what is the weather of agra,weather,30-09-2024,11:33:17
what is the time right now,time,06-10-2024,21:56:27
10 time right now,time,06-10-2024,21:56:54
what is the date and time right now,time,06-10-2024,21:57:09
open d hindu,open,06-10-2024,21:57:26
open d hindu newspaper,open,06-10-2024,21:57:53
what is the weather of london right now,weather,06-10-2024,21:58:16
what is the temperature of noida right now,weather,06-10-2024,21:58:58
goodbye,open,06-10-2024,21:59:27
